"ASDR per 100 000 - Total deaths, ICD chapter 4 (Endocrine, nutritional and metabolic diseases), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Israel,,26.4,25.5,25.4,26,25.5,27,28.9,31.4,32.3,31.4,32.7,35.3,40.1,34.8,36.8,37.3,37.6,36.4,,,,,,,,,,,,,,,,,,, 
Italy,,15.3,14,14.6,15.6,15.6,15.1,15.7,15.5,15.7,15.6,16.4,15.7,17.2,,,,,,,,,,,,,,,,,,,,,,,, 
Jamaica,,,,,,76.6,72.2,66.1,,,67.6,72.3,70,61.5,58.3,64.9,76.7,,,,,,,,,,,,,,,,,,,,, 
Japan,,4.9,5.1,5.3,5.7,5.9,6,5.9,6.2,6.3,6.3,6.5,6.2,6.4,6.5,6.5,6.8,7.3,7.3,7.3,7.8,9.1,,,,,,,,,,,,,,,, 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,24.9,17.9,15.2,8.7,8.3,8.8,8.4,8.8,9.7,9.4,9.3,9.7,,,,,,,,,,,,,,,,,,,,,,,,, 
Kiribati,,,,,,,,,,,,,,,,79.1,102.5,67,,,,,,,,,,,,,,,,,,,, 
Kuwait,,,14.1,14.5,22.8,20.6,23.3,27.2,23.3,25.5,41,40.6,49.4,55.2,42.3,43,49.9,46.5,51.5,50.4,56.1,41.5,,,,,,,,,,,,,,,, 
Kyrgyzstan,,9.7,11.3,10.9,8.8,9.7,9.2,10.2,11,11.5,11.3,11.4,11.1,9.2,9.5,8.7,11.8,,,,,,,,,,,,,,,,,,,,, 
Latvia,,11.5,12.2,11.9,12,12.1,13.7,13.5,11.6,11.2,8.4,6.7,6.9,8.3,7.3,8.5,7.2,7.8,8.6,8.3,8.2,,,,,,,,,,,,,,,,, 
Lithuania,5.9,6.4,5.4,6.1,6.5,5.7,5.6,6.4,5.9,6.7,7.3,7.2,6.3,6,6.7,6.5,5.8,6,5.7,,,,,,,,,,,,,,,,,,, 
Luxembourg,,9.9,11.3,10.6,8.8,8.4,10,6.1,8.6,9.3,10.2,8.4,8.8,10.3,10.1,9.3,8.4,7.5,7.1,,,,,,,,,,,,,,,,,,, 
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,26.4,28.2,,10.5,15.9,,5.9,11,18.4,23.3,24,9.3,,,,,,,,,,,,,,,,,,,,, 
Malta,,19.6,19.2,14.2,6.2,6.7,14.2,20.8,21.6,18,19.6,18.9,20.2,13.9,17.1,18.6,16.5,18.8,24,18.1,13.6,18.4,,,,,,,,,,,,,,,, 
Martinique,,,26.1,20.6,,22.8,22.7,18.3,23.3,24.9,24.2,21.6,22,25.3,29,26.2,29.1,,,,,,,,,,,,,,,,,,,,, 
Mauritius,155.7,157.6,170.3,168.7,189.8,184.7,178,173.3,180.9,173.7,192.4,171.3,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mayotte,,,28.2,26.5,24.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,105.1,104.2,102.7,102.7,102,108.9,106,109.1,104.6,106.1,108.9,104.2,103.9,99.8,94.6,92.5,94.5,91.8,,,,,,,,,,,,,,,,,,, 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,8.5,10.2,10.1,13.8,14.9,14.4,16,15.1,12.6,17,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,9.4,9.6,9.7,10.4,10.1,10,11.4,11.4,12.6,12.7,13.7,14.8,15.4,15.7,17.1,18.5,15.5,16.2,15.2,15.5,15.7,,,,,,,,,,,,,,,,, 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
