"ASDR per 100 000 - Total deaths, ICD chapter 13 (Diseases of the musculoskeletal system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,12.5,5.8,7.3,1.2,1.2,1.1,1.1,1.1,1.3,1.1,1.1,1.2,1.2,1.1,1.2,0.8,1.2,1.2,1.1,1.2,1.3,1.3,1.3,1.1,1,0.9,1.1,1.1,1.1,1.3,1.2,,,1.2,1,, 
Kiribati,,,,,,,,,,,,,,,,1.4,5.8,0,0,0,0,5.5,3.1,4.8,6.9,5.4,,,,,,,,,,,, 
Kuwait,,,0.3,0.5,0.2,0.5,0.1,0,0.1,0,0,0.2,0.2,0,0.1,0.2,0,0,0.2,0,0.3,0,2.1,0.3,,,,,,0.6,0.5,0.4,0.2,0.8,0.3,0,0.1,0.6 
Kyrgyzstan,,2,2.2,2.8,3.5,2.9,3.4,3.8,4.5,4.9,4.6,2.9,2.8,3.3,2.4,1.4,0.9,1.3,0.8,1,0.8,1,1.1,1,1.2,0.8,0.9,1.4,1.4,1,1,0.9,,,1.1,1,, 
Latvia,,2.2,1.7,2.6,2,1.9,2.4,1.4,2,1.9,2.3,1.5,1.8,2.7,2.4,1.9,2.4,1.8,2.3,2.3,2.4,2,2,2.2,1.5,2.1,2.1,2.1,1.8,2.3,1.9,2.2,1.7,1.7,1.8,2.3,1.7, 
Lithuania,1.6,1.5,1.6,1.7,1.8,1.6,1.7,1.6,1.4,1.8,1.8,1.7,1.9,2,1.8,1.7,1.6,1.7,1.8,1.8,1.6,1.9,2,2,2.2,2.1,1.7,1.9,2.2,2.2,2.1,1.8,,,1.9,1.8,, 
Luxembourg,,2.4,1.4,1.3,1.5,1.8,1.7,0.7,1.2,1.5,1.9,1.4,1.9,1.6,2.4,1.3,1.2,2.6,1.8,1,0.7,1.9,0.2,1.9,0.4,1.5,0.2,0.9,1.2,0.5,1.3,0.7,1.4,1.6,1.7,1,1,0.9 
Macau,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,0.3,0.3,,0.8,0.3,,0.5,0,0,0.3,1.1,15.3,,,,,,,,,,,,,,,,,,,,, 
Malta,,1.6,2.5,1.7,0.8,1.3,1.6,2.6,1.9,1.8,2.7,2.2,2.7,2.1,2.5,0.7,2.8,2.5,1.8,1.6,1.5,1.6,1.3,1.4,2,1.3,1.9,1.3,0.3,0.7,0.2,1.1,0.9,1.4,1.8,1.9,1.2,0.8 
Martinique,,,2,3.3,,2.3,1.6,2.4,2.2,2.7,2,2.2,1.7,1.2,1.5,1.6,3.4,,,,,,,,,,,,,,,2.4,,,1,1.6,, 
