"ASDR per 100 000 - Total deaths, ICD chapter 12 (Diseases of the skin and subcutaneous tissue), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Estonia,,0.7,0.4,0.7,0.3,0.3,0.6,0.2,0.7,0.7,1,0.8,0.9,0.5,0.9,0.8,0.7,0.8,0.9,1,0.8,1.5,0.8,0.8,1,0.8,0.7,0.9,0.7,0.8,0.6,0.6,,,1,0.6,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,7.4,6.3,,1.7,1.7,2.2,0.7,0.9,1,2.2,2.7,3.2,,,,,,,,,,,,,,,,,,,,,, 
Finland,,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.3,0.2,0.1,0.1,0.2,0.3,,,,,,,, 
France,,,0.5,0.6,0.6,0.5,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.4,1.4,1.4,1.6,1.7,1.7,1.7,1.7,1.7,1.6,1.7,1.6,1.6,1.6,1.6,1.5,1.8,1.7,1.7,1.9,1.7,1.7,1.8,1.7 
French Guiana,,,0.6,1.1,1.8,1.4,2.1,1.7,0.9,0,1.7,1,3.8,0,2.7,6.8,,,,,,,,,,,,,,,,,,,,,,0 
Georgia,,0.7,0.4,0.2,0.4,0.1,0,0,,0,0,0,0.1,,,0.1,0.1,0.1,0,0.2,0.1,0,0,,0,0.1,0.1,0.2,0.2,0.1,0.1,0.2,,,0.3,0.1,, 
Germany,,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,,,,,,,,,,, 
Greece,,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.3,0.6,0.7,0.5,0.9,0.9,1,1.1,1,1.5,0.8 
Grenada,16.2,10.9,4.3,7.5,4,3.7,12.7,8.7,8.8,9.3,12.2,10.2,17,10,12.3,7.1,,,,,4.2,0,5.7,3,1.3,1.9,1.2,2.4,8.3,,,0,,,,,, 
Guadeloupe,,,1.2,2,1.2,2,1.2,1.1,1.7,1.5,1.1,1.7,1.3,2.6,1,1.8,2.2,,,,,,,,,,,,,,,,,,,1.3,, 
Guatemala,,2,0.5,0.5,1,0.7,0.5,1,1.4,2,2.3,2.7,3,3.1,3,2,2.6,1.9,1.3,2.5,2.6,3.6,4.7,4.1,4.6,3,3,1.1,1.2,1.2,1.4,,2.2,,,2.4,2.2,0.2 
Guyana,,,,0.1,0.3,1.1,0.7,0.8,0.3,1.8,0.1,0.2,0.2,4.9,2.3,3.8,,2.2,3.5,5.1,5.2,3.1,2.3,3.3,2.3,5,4.6,3.7,1.7,,,,7,,,,,5.3 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,1,1.2,1,1.1,1.1,1.4,1.2,1.9,1.9,1.9,2.3,1.9,1.7,1.9,2,0.4,0.3,0.6,0.9,0.4,0.4,0.4,0.5,0.4,0.1,0,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.3,0.3 
Hungary,0.7,0.5,0.6,0.4,0.7,0.6,0.6,0.7,0.6,0.8,0.7,0.6,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.3 
Iceland,0.5,0.6,0.6,0.6,0.4,0.1,0.5,0.3,0,0.3,0.2,0.2,0.5,0.3,0,0,0,0.3,0.2,0,0,0.3,0,0,0,0,0,0,0.6,0.4,0,0,0,0.9,0.3,0,, 
Iran (Islamic Rep of),,2.1,1.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,0.7,0.7,0.5,0.5,0.7,0.9,0.8,0.9,1,1.5,1.3,1.4,1.4,1.6,1.6,1.8,1.5,1.3,1.5,1.7,1.6,1.2,1.4,1.7,1.6,1,1.2,1.3,0.9,1,0.6,0.9,1,0.8,0.9,0.9 
Israel,,3.2,3.4,3.9,3.6,3.3,3.2,4.1,4.4,4.7,4.7,4.5,4.1,4.2,5.2,4.6,3.8,3.3,2,1.8,2.5,1.9,1.6,1.4,2,2.8,2.6,2.7,2.3,2.8,3.1,2.8,2.1,1.2,1.4,2,1.2,0.7 
Italy,,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.5 
Jamaica,,,,,,3.7,3.3,4.3,,,5.2,4.3,4.4,6,3.7,4.4,5,,,,,,,,,4.1,3.3,3.6,2.6,2.9,3,4.5,,3.9,,1.7,3, 
Japan,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,0.8,0.7,0.6,0.5,0.6,0.5,0.5,0.4,0.6,0.6,1,0.7,0.6,0.9,0.8,0.8,0.8,0.7,0.8,0.9,1,0.8,0.8,0.7,0.4,0.5,0.6,0.5,0.7,0.7,0.6,,,0.8,0.6,, 
Kiribati,,,,,,,,,,,,,,,,1.4,4.7,9.8,7.8,3.3,0,18.6,7.9,7.3,11.1,13.9,,,,,,,,,,,, 
Kuwait,,,0.3,0.2,0,0.6,0.6,0.4,0.2,1,0.1,0.6,0.3,0,0.8,0.8,0.1,0.2,0.3,0.4,0.2,1.1,0.6,0.2,,,,,,0,2.1,0.2,0,0,0,0,0,0 
Kyrgyzstan,,0.3,0.3,0.4,0.4,0.2,0.4,0.3,0.4,0.2,0.4,0.3,0.5,0.5,0.6,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.8,0.4,0.5,0.5,0.8,0.5,0.4,0.5,0.7,0.4,,,0.6,0.3,, 
Latvia,,1.4,1.7,0.9,1.5,0.9,1.1,0.8,1,1.2,1.7,1,0.8,0.9,0.8,0.6,1.1,1,0.6,0.5,0.7,1,1,0.7,0.7,0.3,0.7,0.6,0.7,0.7,0.7,0.5,0.5,0.8,0.4,0.8,0.7, 
Lithuania,0.8,0.6,1.1,0.7,0.6,0.7,0.7,0.7,0.9,1.2,0.9,0.6,0.7,0.4,0.9,0.7,0.3,0.4,0.3,0.5,0.5,0.5,0.7,0.4,0.2,0.3,0.3,0.4,0.3,0.4,0.3,0.6,,,0.3,0.3,, 
Luxembourg,,0.3,0.4,0.2,0.3,0.6,0.7,0.3,0.4,0.3,0.2,0.7,0.7,0.7,0.7,0.8,1.5,1.1,1,0.3,0.1,0.2,0.3,0.3,0.1,0,0.2,0,0,0.4,0,0.6,0,0.1,0.3,0,0.4,0.2 
Macau,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,2.4,2.2,,1,1.3,,0.6,0.6,2,0.8,0,4.5,,,,,,,,,,,,,,,,,,,,, 
Malta,,1.7,2.2,1.7,1.7,3.6,3.1,3.6,4.6,5.5,5,6.7,7.8,8.8,8.1,8.5,9.8,9.3,15.6,11.4,9.3,9.2,8.7,6.3,4.4,2.6,2.1,2.9,0.4,0,0.8,0.2,0.5,0,0.5,0,4.9,7 
Martinique,,,1.7,1.2,,1.5,0.9,2,1.9,1.6,1.6,2.1,2.7,2.8,2.9,2.1,3.1,,,,,,,,,,,,,,,2.1,,,2.9,3.9,, 
Mauritius,3.2,2.7,3.5,2.2,2.9,2.4,2.8,2.9,1.6,1.3,2.5,0.9,0.4,0.8,0.7,0.7,0.6,0.4,0.4,0,0.3,0.3,0.7,0.2,0.3,0,0.6,0.9,0.2,0.6,0.8,1.1,1.4,0.3,1.5,1,, 
Mayotte,,,0,1.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,2.5,2.4,1.5,1.6,1.7,1.7,1.7,1.6,1.6,1.3,1.3,1.2,1.3,1.2,1.3,1.4,1.4,1.6,2,1.9,2.3,2.2,2.3,2.2,2.1,2.2,2.3,2,2.2,2.3,2.2,1.6,2.4,2.2,2,1.5,1.7 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,0.9,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,0,0,0.2,0.2,0,0,0.5,0.4,0,0.1,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,0.5,0.6,0.7,0.7,0.9,0.9,1,0.9,1,1.1,1,1.2,1.1,1.3,1.2,1.3,1.6,1.8,1.6,1.6,1.6,1.8,1.9,1.8,1.8,2.2,2.2,1.8,1.7,1.6,1.8,2,1.9,2.1,1.8,1.7,2,1.2 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,1.3,1.1,1.1,1,1.2,1.1,0.9,0.8,0.8,1,0.7,0.8,0.8,0.9,0.5,0.5,1,1,1.2,1,0.9,1.1,0.6,0.9,0.9,0.6,1,0.7,0.9,0.8,0.6,0.6,0.7,0.6,0.9 
Nicaragua,,2.1,1.6,1.7,1.4,1.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
