"ASDR per 100 000 - Total deaths, ICD chapter 15 (Pregnancy, childbirth and the puerperium), female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,2.1,3.8,,2.3,1.1,,0.6,1.6,0,4.7,2.3,2.1,,,,,,,,,,,,,,,,,,,,, 
Malta,,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1.2,0,0.6,0.6,0,0.7,0.6,0,0.7,0,0.5,0,0,0,0,0,1.2,0,0,1.3,0.6,1.7,0 
Martinique,,,0,1.3,,1.1,0,1.3,0.6,1.7,0.8,0,0.6,0.9,0.8,0.4,0.8,,,,,,,,,,,,,,,0,,,0,1.3,, 
Mauritius,1.1,0.7,1.2,1.4,1.4,0.8,0.6,1.6,1,0.9,0.5,0.6,0.5,0.6,0.2,0.6,0.5,1.1,0.7,1.6,1,2,2.5,1,1.5,2.6,2.5,0.8,1.6,3.3,4.2,3.9,3.6,2.3,4.4,3.4,, 
Mayotte,,,2.1,0.8,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,1.4,1.5,1.5,1.6,1.6,1.6,2,1.9,1.9,2,2.2,2.2,2.4,2.4,2.3,2.5,2.7,2.8,2.5,2.6,3.1,3.1,2.8,3.2,3.3,3.6,3.8,4,4.2,4.7,4.8,6.5,6.8,7,7.2,8.3,9.1 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,2.2,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,0,0,0.3,0,0,0,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,0.5,0.4,0.3,0.3,0.6,0.3,0.7,0.4,0.3,0.2,0.2,0.4,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.6,0.3,0.5,0.2,0.3,0.6,0.4,0.6,0.4,0.2,0.6,0.4,0.2,0.5,0.4 
Nicaragua,,1.7,1.6,2.2,2.2,2.6,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
