"ASDR per 100 000 - Total deaths, ICD chapter 3 (Diseases of blood and immune mechanism), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Mayotte,,,4.5,1.1,1.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,4,4.2,4.2,4.3,4.3,4.8,4.8,4.9,4.8,4.8,5.4,5.3,5.3,5.2,5.3,5.3,6,6.5,,,,,,,,,,,,,,,,,,, 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,0.6,0.3,0.5,1.1,0.6,0.2,1.2,0.5,0.4,0.2,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,1.3,1.3,1.3,1.4,1.3,1.2,1.2,1.4,1.4,1.5,1.5,1.6,1.7,1.6,1.8,1.4,1.3,1.4,1.4,1.4,1.4,,,,,,,,,,,,,,,,, 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,0.8,0.7,0.8,0.7,1,0.8,0.9,0.9,1.1,1,1.1,1,1.3,0.9,,,,,,,,,,,,,,,,,,,,, 
Nicaragua,,2.4,2.3,2.8,2.2,2.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Norway,,1.1,1.4,1.2,1.1,1.3,1.3,1.2,1.1,1.3,1.4,1.1,1.2,1.2,1.2,1.4,0.9,0.9,1,1.5,1.2,,,,,,,,,,,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,4.1,,,,3.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,3.4,3.1,3.8,2.7,3.2,3.4,3.3,1.9,2.5,2.4,2.7,3.6,3.1,3.6,3.2,3.9,3.4,4.9,,,,,,,,,,,,,,,,,,, 
Paraguay,,,3.3,3.1,2.9,2.1,2,1.3,1.8,1.6,1.3,2,1.6,1.2,1.4,1.8,1.4,0.9,1.2,1.1,1.7,,,,,,,,,,,,,,,,, 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,5.3,5.6,5.3,5.8,6.3,6.6,,,6.4,6.4,7.3,6.5,5.9,,,,,,,,,,,,,,,,,,,, 
Poland,,0.4,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.9,0.8,1.1,1.1,1.1,1.2,1.2,1.1,1.3,,,,,,,,,,,,,,,,,,,, 
Portugal,,,1.7,1.8,1.8,1.7,1.5,1.5,1.6,1.4,,,,1.4,1.1,,,,,,,,,,,,,,,,,,,,,,, 
Puerto Rico,,4.9,5.3,5.3,5.3,5.8,5.8,6.5,5.9,5.6,6.2,5.8,5.4,5.2,5.6,5.8,6.1,5.7,,,,,,,,,,,,,,,,,,,, 
