"ASDR per 100 000 - Total deaths, ICD chapter 17 (Congenital malformations, deformations, abnormalities), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
El Salvador,,,3.7,3.9,3.7,3.6,4.4,5.2,5.7,5,5.6,4.6,5,4.7,5,4.5,5.1,4.9,3.4,3.6,5.5,4.3,,3.3,3.5,3.2,2.6,,,,,,1.6,1.5,1.9,2.1,, 
Estonia,,1.9,2.6,2.2,3.5,2.9,3,2.6,4,4.3,4.5,4,4.7,5.4,5.3,6.2,6.2,7.9,7.8,6.3,6.5,6.9,6.9,9.7,8.3,8.6,8.1,10.8,9.6,9.6,10.3,10,,,11.8,11.1,, 
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Fiji,,,,,10.8,9.6,,6.5,7.3,5.6,2.9,2.5,1.5,1.4,2.7,3.4,,,,,,,,,,,,,,,,,,,,,, 
Finland,,2.7,3.2,2.9,3.2,3.3,2.8,3.7,3.4,3.7,3.8,4.1,3.8,4,3.3,4,4.4,4.6,4.7,4.7,4.3,4.6,4.8,4.8,5.7,5.9,5.9,6,6.2,6.6,,,,,,,, 
France,,,2.4,2.5,2.4,2.4,2.6,2.6,2.6,2.7,2.7,2.6,2.8,2.9,2.7,3.1,3.3,3,3,3.2,3.3,3.4,3.6,3.7,3.3,3.8,4,4.1,4.3,4.4,4.5,5,5,5.4,5.5,5.6,5.9,5.5 
French Guiana,,,4,3.4,6.7,4.5,6.6,3.2,4.5,6.6,2.7,3.1,4.2,5.6,2.6,3.6,,,,,,,,,,,,,,,,,,,,,,0 
Georgia,,4.8,4.7,4.3,3.2,1.7,0.6,1.2,,2,2.3,1.1,2.2,,,0.6,0.6,1.2,1.1,2.6,2.6,2.4,1.9,,0.5,1.4,1.8,2.3,1.9,5,5.4,4.5,,,4,4.3,, 
Germany,,2.9,2.8,3,2.7,3,2.9,2.9,2.6,2.8,2.8,2.9,3,3.1,3.1,3.1,3.2,3.1,3.5,3.9,3.9,3.9,4.4,4.8,4.9,4.7,5,,,,,,,,,,, 
Greece,,2.9,2.6,3.5,3.8,3.9,4,3.3,2.6,3.6,3.4,3.3,4.1,3.7,4.4,4.6,4.3,5,5.8,5.3,6.1,6.4,6.9,7.5,10.1,9.2,10.3,7.1,10.6,8.1,7.6,9.8,9.6,9.8,10.1,10.2,10,11 
Grenada,4.6,6.1,6,2.6,9.6,9,2.6,5.5,2.5,6.1,6.9,6.4,9.8,2.8,1.8,0,,,,,2.8,2.3,2.1,4,3.6,2.4,11.3,5.6,3.3,,,4.3,,,,,, 
Guadeloupe,,,2.8,5.9,3.3,3.2,3.4,3.4,2.5,2.1,4.3,5.6,4.4,4.8,2.6,4.4,3.2,,,,,,,,,,,,,,,,,,,7.6,, 
Guatemala,,6.2,6.8,6.1,6.7,5.9,5.1,4.7,3.4,4.6,3.9,3.8,2.6,2.8,3.3,3.5,3.6,2.8,2.9,3.2,2.7,3.8,4.5,4,3.8,4,4.3,4.3,4.6,4,3.3,,5.2,,,4.8,5.2,3.6 
Guyana,,,,5.6,4.2,3.6,6,3.3,4.7,4.9,6,5.2,7.1,6.8,6.5,5.3,,6.8,7.2,7.1,5.6,6.5,3.9,3.8,5.5,6.6,4.3,5.1,3.4,,,,1.6,,,,,2.3 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,1.1,1.2,1.3,1.7,1.9,1.8,2.5,1.9,2.6,2.7,2.6,2.4,2.5,3,2.1,2.7,2.7,2.3,3.3,2.6,3.5,3.4,3.4,3.3,4.5,4.5,4.9,5.6,5.9,5.4,5.3,5.9,6.5,5.5,5.5,6.3,7 
Hungary,4,4.1,4.3,3.8,4.2,4.7,4.9,4.8,4.8,5.2,5.2,4.8,4.3,5,4.8,5.6,5.8,5.7,6.7,6.5,7,7,7.7,8.2,8,9.1,8.8,9.3,9.3,10.2,10.9,11.1,10.9,11,11.2,11.3,11.5,12.4 
Iceland,2.1,2.4,2.2,3.6,1.9,1.5,2.2,1.5,1.3,2.5,1.9,2.1,2.1,3.2,4.3,1.4,2,2.3,4.2,2.6,3.9,7.9,4.3,3.1,6.1,3.3,3.2,5.4,3.7,5.2,5.8,7.3,4.9,8,5.3,7.9,, 
Iran (Islamic Rep of),,6.5,6.9,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,4.1,4.6,4.1,4.3,4,4.5,4.7,4.9,4.7,5,4.5,5.9,6,5.8,6.2,6.2,6.4,5.9,5.4,6,6.2,6.7,7,8.8,7.5,7.2,7.3,6.5,7.6,8,7,7.8,7.9,8.9,9.3,9.7 
Israel,,3,2.7,3.1,3.3,3.3,3,3.4,3.3,3.4,3.1,3.6,3.3,3.3,3.4,3.1,3.2,3.8,3.9,4.8,4.6,5,5.8,6.1,4.8,6.1,5.7,6.5,6.7,6.6,7.4,6.8,8,9.1,7.3,6.6,7,11.5 
Italy,,2.6,2.4,2.5,2.5,2.7,2.6,2.6,2.9,2.8,3.1,3,3,3.7,3.6,3.8,3.7,3.9,4.2,3.9,4.3,4.4,4.5,4.9,5.7,5.1,5.1,5.1,5.9,5.9,6.1,5.7,6.3,7.1,7.3,7.3,7.3,7.3 
Jamaica,,,,,,6.3,5.4,5.8,,,5.2,3.1,2.4,3.2,2.8,3.2,4,,,,,,,,,1.1,1.4,1.4,1.8,3.6,1.5,4.2,,4.1,,2,2.7, 
Japan,,2.2,2.2,2.2,2.3,2.3,2.4,2.3,2.5,2.6,2.6,2.7,2.9,2.8,3.1,3,3.2,3.2,3.5,3.4,3.6,4.1,4,4.2,4.4,4.4,4.5,4.3,4.4,4.3,4.5,4.5,4.7,4.8,4.8,5,5.2,5.2 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,5.6,5.7,5.7,7.1,7.7,7.9,8.5,8.8,8.2,8.7,8.7,8.1,8.5,8.3,9,8.7,8.4,8.4,8.5,7.6,8.7,7.9,8,7.7,8.1,8,7.4,8.1,7.9,7.4,7.1,,,6.5,5.6,, 
Kiribati,,,,,,,,,,,,,,,,0,0.7,0,0.7,0,3.3,0,0,0.8,2.5,0.7,,,,,,,,,,,, 
Kuwait,,,6.4,6,6.3,7.1,8.9,10.5,9,8.6,11.2,10.5,11.1,9.9,11,11,7.9,9.7,10.7,10.5,9.7,7.3,10.1,9.7,,,,,,11.7,9.7,12.1,11.4,12.3,9.5,15.9,15,12.9 
Kyrgyzstan,,4.2,3.7,7.1,6.7,6.3,7,6.9,7.5,8.1,8.3,7.7,7.7,6.5,6.2,6,5.4,4.8,5.1,4.5,5.5,4.9,4.5,5,5.2,5.1,6.4,5.7,6.2,6.1,5.9,6.4,,,5.9,6.5,, 
Latvia,,3.1,3,3.2,4.4,5,4.2,6.6,5.8,6.2,6,5.7,6.1,7.4,8.4,9.1,8.9,8.2,12.2,10.6,10,11.4,9.9,12.2,11.7,11.1,13.9,11.9,9.7,10.2,11.8,12.6,11.4,13,14.7,13.3,13.2, 
Lithuania,4.1,4.1,4.6,3.8,3.2,4.4,4.8,4.6,5.7,6.1,7.2,6.4,7,5.8,7.8,7.6,8.4,7.3,8.3,8.7,8.3,10.6,9.5,11,11.7,11.8,11.6,10.9,12,12,11.7,13,,,15.7,16.3,, 
Luxembourg,,2,0.8,2.4,0.6,0.8,2.3,0.3,0.5,1.7,0.7,1.6,1.9,1.4,2,2.2,0.6,1.9,1.4,1.5,3.1,4.2,3.2,4.9,3.9,3.6,4.4,5.4,4.1,3,3.1,4.2,4.3,4.7,7,3.7,5.2,7.1 
Macau,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,, 
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Maldives,,,,,,4.2,6.6,,3.1,3.9,,2.2,1.5,0.6,0.6,0.6,43.8,,,,,,,,,,,,,,,,,,,,, 
Malta,,5.4,4.7,3.9,5.9,7.9,6.8,7.8,7,8.5,4.3,4.6,8.1,8.1,7.5,3.8,2.8,3.7,5.8,7,4.8,6.3,6,8.3,8.9,7.6,7,7.2,5.1,4.6,4.4,11.4,9.4,12.3,10.1,6.9,11.7,13.5 
Martinique,,,6.1,6.9,,5.7,2,7.2,6.6,3.9,3.5,3.5,2.3,3.3,2,3,3,,,,,,,,,,,,,,,3.8,,,2.4,7.5,, 
Mauritius,7.3,5.4,7.6,5.8,6.5,7.6,6.6,7.4,6.6,6.4,5.5,7.9,6.2,6.1,6.6,6,6.9,7.1,6.1,3.3,5.4,7,8.7,7.2,7,6.7,7.2,7.3,7.4,6.3,5.3,5.4,4.1,2.9,4.8,4.4,, 
Mayotte,,,7.3,3.2,5.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mexico,,7.2,7.4,7.2,7.3,7.5,7.3,7.3,7.2,7.1,7.6,7.5,7.3,7.1,7.3,7.3,7.6,7.7,8,7.7,7.7,8.1,7.8,7.4,7.4,6.6,7.4,7.3,6.8,6.2,5.7,5.5,5.9,4.8,5.1,4.9,5.5,5.1 
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Mongolia,5.4,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,,,,,,,,,,, 
Montenegro,,,,,,,,0.2,0.2,1.9,1.2,1.9,1.5,3.8,1.2,2.7,2.7,,,,,,,,,,,,,,,,,,,,, 
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,2.9,2.8,2.9,3,3.1,3.4,3.3,3.3,3.2,3.4,4.2,4,4,4.3,4,4.6,4.6,4.8,5,5.4,5.1,5.2,5.9,5.9,6.2,6,6.4,5.9,6.3,7,7,6.9,7.3,7.2,7.4,7.3,7.1,7.6 
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
New Zealand,,,,3.7,3.9,4.3,4.3,4.2,4.4,4.6,4.9,4.1,4.8,5.1,5.6,4.7,5.4,5,5.2,5.5,5.4,5.4,5.5,6.3,6.4,6.1,5.7,6.5,8.5,7.1,8,7.3,7.4,7.8,7.5,7.3,8.3,9 
Nicaragua,,8.2,7.5,8.4,7.2,7.3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Norway,,2.5,2.3,2.9,2.8,2.7,2.8,3,3.1,3.2,3.2,3,4.1,3.5,3.7,4.2,3.9,4.4,4.5,5,4.2,3.6,4.6,5.4,5.5,5.3,5.1,5.8,5.5,7.8,6.9,,,,,,, 
Occupied Palestinian Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,3.6,,,,3.2,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,,8.1,8.9,7.4,8.5,6.8,6.1,6.7,7.3,7.4,7.7,7,8.2,9.2,8.8,9.2,9.1,7.7,9.1,9.3,8.3,,,,,,,6.6,6.8,6.6,6.6,8.4,7,7,6.3,5.9,5.8,6.6 
Paraguay,,,7.5,6.8,6.4,6.1,5.7,5.2,4.6,5.4,5.6,5,4.2,3.7,3.7,3.3,3,2.7,2.7,3.1,3.3,3.5,3.4,,,3.2,3.3,3.1,3.2,3,3.1,2.7,2.6,2.2,2.1,2.2,2.4,2.2 
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Philippines,,,,,,4.1,4.5,4.5,4.5,4.1,4.3,,,3.6,3.4,3.4,4.5,3,4.1,5.6,4.3,4,4,3.2,3.1,,,,,,,,,,,,, 
Poland,,3.7,4,4.1,4.1,4,4.1,4.1,4.2,4.7,4.4,5,5.1,5.1,5.4,5.7,6.1,6.5,,,8.1,8.2,8.7,8.8,9.4,9.3,9.5,9.2,9.4,9.9,10.1,10.3,10.6,10.6,10.6,10.3,11.2, 
Portugal,,,2.4,2.2,2,2.3,1.9,2.1,2.5,2.6,,,,3.2,3.5,3.5,3.8,4.3,4.8,4.6,4.8,5.1,5.8,6.4,6.1,6.7,6.7,7.3,7.1,7.8,7.2,7.7,7.8,8.5,8.2,8.7,8.8, 
Puerto Rico,,3,3.1,3.4,4.1,4.1,4,2.8,3.7,4.4,3.9,4.6,3.5,4.4,4.3,4.1,5.3,5,5.3,6.1,5.5,6.3,5.4,6,6.4,6,6.1,5.8,5,5.4,4.9,5,4.9,5.1,5,6,4.8,5.8 
Qatar,4.7,5.8,5.1,5.7,5.2,6,5.9,6.5,6.9,7.3,5.8,5,6.3,,,7.7,,,,,,8.7,,,,,,,,,,,,,,,, 
Republic of Korea,,1.5,1.7,1.6,1.6,1.6,1.7,1.6,1.7,2.1,2,2.1,2.5,2.9,3.1,2.8,2.7,2.6,1.6,2.2,2.4,2.5,3.1,3.3,3.3,3.4,3.2,3,2.7,1.8,2.2,2.3,,,,,, 
Republic of Moldova,5.9,5.8,6.8,6.3,8.7,7.4,7.8,8.3,9.4,7.2,8.7,9,9.5,9.5,10.6,10.5,10.4,10.3,9.9,10.2,10.4,10.4,10.8,11.6,10.2,10.4,10,9.5,10.8,12.1,10.2,10.4,,,10.4,11.1,, 
Reunion,,,4.1,3,5.5,5.4,5,3.7,3.4,4,4.2,3.7,2.6,4.9,2.9,3.3,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Romania,3.5,3.8,4,4.6,5,4.8,5,5.4,5.2,6.2,6.8,8,7.6,8.9,9,8.3,8,7.8,9.2,10.7,9,8.4,8.3,8.9,8.9,8.7,8.8,12.6,13.5,13.3,13.4,11.6,11.9,10.5,10.2,10.1,10.8, 
Russian Federation,,3.9,4.3,4.5,4.9,5,5.1,5.5,5.5,6.1,6.5,7,7.2,8,8.2,8.9,9,9.6,9.7,10,9.7,9.9,9.8,9.7,9.1,9.2,8.9,8.8,9.3,9.8,9.4,9.3,9.3,9.1,8.7,8.7,9.3, 
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Lucia,,,5.8,4.5,7.3,3.4,7.4,7,4.4,,3.4,8.7,7.6,9.1,2.6,2.6,7.2,0,7.3,6,5.5,3.7,4.1,6.7,7.7,6.9,6.2,4.7,1.7,3,2.1,,,5.1,,5.1,1.4,1.4 
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Saint Vincent and Grenadines,,7.9,10,5.8,2,9.6,6.4,0.9,3.8,7.4,7.7,5.8,6.8,5.5,1.6,7,4.2,11.7,3.2,10.7,6.7,6.7,,,,,6,,,7.2,8.7,6.2,5.8,9.9,5.7,,, 
