"ASDR per 100 000 - Total deaths, ICD chapter 9 (Diseases of the circulatory system), both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countries,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Finland,,128.5,133,137.1,145.8,149.4,156.8,160.6,164.6,169.9,172.6,177.2,183.5,195.7,202.9,204,216.7,221.6,227.7,233.2,242.9,263.4,262.1,287.5,291.2,298.4,309.6,312.9,324.5,332.8,,,,,,,, 
France,,,70.9,74.1,77.2,78.5,83.5,87.3,91.4,93.5,97.5,104.8,106.6,117.5,117.8,120.4,123.2,128.3,131.9,129.9,134.3,135.2,135.4,143.6,144.8,151.2,152.6,159.8,166.8,175.9,196.6,197,195.4,204.5,205.3,212.8,219.7,221.6 
French Guiana,,,84.7,81.3,96.3,84.6,101.8,105.7,129.1,114.7,114.3,144,125.3,169.3,162.1,141,,,,,,,,,,,,,,,,,,,,,,308.6 
Georgia,,309.6,292.8,224,244.2,222.7,188.3,362,,403.2,425.7,435.1,515.6,,,480.6,508.8,495.9,486.5,465.6,421.4,472.9,400.8,,515,486.2,471.6,489.6,506.7,502.4,506.6,516.7,,,493.4,501.8,, 
Germany,,139,135.6,145.5,142.6,143.6,152.6,158.9,163.3,169.6,175.3,185.8,192.5,209.8,209.1,209.8,215.1,226.7,234.3,239.5,247.9,254.4,260.5,271.2,272.9,287.9,295.7,,,,,,,,,,, 
Greece,,138.8,138.8,146.5,160.4,161.5,167.7,179.1,189,200.5,207.4,214.1,229.1,238.3,237.5,241.7,248.3,250.7,257.7,254.2,259.8,262,258.4,251.8,262,271.3,275.8,276.4,280.5,290,280.9,281.1,261.6,272,262.2,262.1,270.6,258.9 
Grenada,303.1,260.1,338.1,275.4,279.3,269.7,297.6,278.9,316.3,253.3,282.2,322.2,334,293,335.2,231.2,,,,,277.8,313.4,343.4,321,294.4,335,375.5,337.1,312.8,,,346.5,,,,,, 
Guadeloupe,,,78.9,74.3,75,89.1,90.8,102.6,96.8,100.2,116.2,125.4,130.8,122.6,137.2,129.9,136.4,,,,,,,,,,,,,,,,,,,234.1,, 
Guatemala,,126.8,131.3,129.1,132.3,132.2,127.3,123.1,139.1,148.1,142.7,134.3,125.3,152.4,119.5,129.5,132.7,158,174.8,159.8,156.6,172.9,178,158.6,150.1,142.4,140.5,93.2,97,91,93,,149,,,100.8,92.7,101.7 
Guyana,,,,399.7,432.3,420.5,446.3,409.3,420.4,413.1,408.7,444.3,453.5,429.5,397.8,381.4,,318,440.7,441.3,416.4,486.3,422.9,469.5,408.1,475.6,521.9,480,333.4,,,,331.4,,,,,476.1 
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Hong Kong SAR,,62,66.6,64.8,70.8,73.2,80.7,82.2,90.5,89.8,85.3,93.6,97.7,97.1,93.7,93.4,111.7,111.9,111.9,106.8,111.4,124.2,129.7,133.5,147.3,141.9,149.6,139.8,145.1,150.8,152.6,149.6,158.3,173.3,175.8,178.3,199.2,213.9 
Hungary,274.1,288.4,281.5,286.4,297,298.9,311.5,313.8,319.8,335.8,343.5,374.6,363,378,375,375.5,408.5,439.8,424.1,421.3,440.4,444.5,454.1,481.6,477.7,477.4,483.6,469.7,467,478.5,500.2,511.8,509.4,520.6,513.3,514.1,517.1,494.9 
Iceland,101,108.6,100,107.5,103.6,112.2,120.4,125.9,126.7,128,137,130.6,152,151.3,161.6,153.2,166.6,187.8,174.8,186.9,193,210.7,210,203.7,207.4,223.6,213.3,227.8,239,241.4,238.2,248.1,234,268.7,251.4,286.2,, 
Iran (Islamic Rep of),,264.6,226.3,232.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Ireland,,,111.5,122.2,125.9,126.5,130.3,141.7,148.9,154.4,158.1,164.2,179.1,190.2,205.8,214.8,234,251.3,252.4,261.6,273.7,286.6,287.1,298.4,291.6,303.8,313.1,332.3,339.1,344.5,380.6,385.2,376.4,405.4,399.7,410.8,424.1,434.8 
Israel,,76.7,76.3,79,81.8,86.3,87.5,89,98.2,111.7,110.2,118,121.9,128.1,133.2,138.6,146.5,149.5,175.4,170.6,183.2,230.3,237.2,236.7,236.7,240.4,232.8,250.3,265.2,279.9,293.6,277.7,285.9,294.4,344.3,334.9,352.7,345.5 
Italy,,110.1,104.3,108.3,115.4,115.7,116.2,122,126.5,130.3,133.5,146.5,145.3,160.2,160.7,165.6,174.5,183.1,192.8,191.1,194.3,204.4,209.4,214.3,216.8,223.6,223.9,228.7,240.4,250.7,264.4,276.8,283.5,312.5,301.9,299.3,316.4,319.2 
Jamaica,,,,,,152.7,154.5,156,,,150.3,153.5,166.7,159.9,142.6,165.9,182.4,,,,,,,,,179.9,202.2,169.6,162,186.4,179,271.7,,251.5,,196.2,182.8, 
Japan,,71.9,74.5,77.3,81.1,83.7,84.9,85.4,89.6,91.1,94,99.1,98,102,102.8,105.8,109.4,118.5,119.1,122.9,128,137.1,139.4,154.7,158.1,162.1,168.4,169.5,182.6,178.8,191,204.1,213.6,223.9,229.1,249.4,262.2,258.6 
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Kazakhstan,,214,232.2,275.7,282.8,349.1,470.6,473.2,565,613.3,623.9,635.7,620.6,648,617.3,609,597.8,592.6,607.5,596,614.3,603.5,591.3,528.4,469,466.7,449.6,452.5,464.8,450.9,437,465.3,,,435,435.1,, 
Kiribati,,,,,,,,,,,,,,,,129.1,135.8,136.3,157,91.8,99.8,127.9,122.6,164.8,120.5,120.8,,,,,,,,,,,, 
Kuwait,,,146.1,166.7,184.4,182.6,199.7,228.4,234.4,216.7,333.8,331.1,362.1,335.2,258.9,275,291.8,319.1,336.7,376.1,366.5,375.7,319.9,313.2,,,,,,314.6,329.4,345.3,320.8,344.7,340.4,398.2,411.1,405.4 
Kyrgyzstan,,476.9,493.6,494.1,533.6,531.6,527.5,536.8,532.5,543.4,552.3,537.2,505,538.6,538.4,491.6,507.9,463,469.7,471,482.4,511.5,522.3,455.1,409.6,403.7,407.4,433,424.8,410.5,395.5,434.7,,,403.2,397.1,, 
Latvia,,327.2,334.2,345.1,351.7,349.5,369.4,371.3,389.8,435.8,436.4,447.5,444.3,454.1,459.5,464.8,447.9,451.1,479,471.3,491.1,565.3,601.9,562.6,499.8,491,505.5,488.4,514,522.7,513.4,573.9,550.2,529.3,513.6,536.2,548, 
